NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Treadsdirect Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Trimurti Synthetics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Trimline Investments Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TVS Motor Company Ltd.,Automobile - 2 & 3 Wheelers,"2,024.00","Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2023.00,2053.00,967.55,2108.95
TVS Lakshmi Credit Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tyche Industries Ltd.,Pharmaceuticals & Drugs,179.75,Company with high TTM EPS Growth,Declining Revenue every quarter for the past 2 quarters,No Opportunity for this stock,No Threat for this stock,177.35,183.95,122.10,219.00
Typhoon Financial Services Ltd.,Finance - General,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,18.95,18.95
Tyroon Tea Company Ltd.,Tea/Coffee,100.00,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,No Threat for this stock,100.00,103.00,78.00,119.95
Translam Industries. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Twin Roses Trades & Agencies Ltd.,Trading,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,3.67,3.67
Twilight Litaka Pharma Ltd.,Pharmaceuticals,2.88,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.88,2.88,2.88,7.09
Typhoon Holdings Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Twinstar Industries Ltd.,Software,0.99,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,0.91,0.99,0.84,1.32
TVS Finance And Services Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TV Vision Ltd.,TV Broadcasting & Software Production,4.59,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,4.25,4.55,2.00,4.85
Twin Cities Infotech Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TV Today Network Ltd.,TV Broadcasting & Software Production,244.80,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,RSI indicating price strength ,No Threat for this stock,243.45,248.35,169.55,313.50
TVS Autolec Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TVS Electronics Ltd.,Computer Peripherals,360.50,MACD Crossover Above Signal Line,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,353.50,363.00,293.30,440.05
TV18 Broadcast Ltd.,TV Broadcasting & Software Production,66.40,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,65.00,66.95,27.35,68.70
Television Eighteen Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tuticorin Alkali Chemicals and Fertilizers Ltd.,Commodity Chemicals,107.85,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,104.50,108.50,46.00,117.00
Tuscon Exports Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Turbo Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TVS Holdings Ltd.,"Auto Ancillaries - Auto, Truck & Motorcycle Parts","8,076.00","Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Highest Recovery from 52 Week Low ,No Threat for this stock,8020.10,8122.75,38.79,8912.00
Tungabhadra Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tulsi Extrusions Ltd.,Plastic Products,0.99,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.99,0.99,0.82,1.17
Tungabhadra Pulp & Board Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tuni Textile Mills Ltd.,Textiles & Apparel,1.84,Effectively using its capital to generate profit - RoCE improving in last 2 years,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,1.84,1.93,1.34,2.70
Turbotech Engineering Ltd.,Computers - Software Medium & Small,1.85,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.85,1.85,1.85,61.75
Tutis Technologies Ltd.,Computers - Software Medium & Small,2.67,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.67,2.67,2.67,7.38
Tulsyan NEC Ltd.,Steel - Medium & Small,100.95,Growth in Net Profit with increasing Profit Margin (QoQ),Promoters increased pledged shares QoQ,Highest Recovery from 52 Week Low ,No Threat for this stock,97.30,101.00,19.05,120.23
Uttam Sugar Mills Ltd.,Sugar,370.50,Book Value per share Improving for last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),Profit making Companies with High ROCE and Low PE ,No Threat for this stock,368.45,375.85,216.00,535.80
UTV Software Communications Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tulive Developers Ltd.,Machine Tools,208.90,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,No Opportunity for this stock,No Threat for this stock,208.90,208.90,166.00,210.00
Uday Jewellery Industries Ltd.,Diamond  &  Jewellery,193.00,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,192.00,193.00,75.80,253.70
UTISXN50 Ltd.,Miscellaneous,,No Strength for this stock,MACD Crossover Below Signal Line,No Opportunity for this stock,No Threat for this stock,70.77,70.77,40.36,78.00
Tulip Telecom Ltd.,Telecommunications - Service,1.53,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.41,1.55,0.94,5.26
Utkarsh Small Finance Bank Ltd.,Bank - Private,60.13,Growth in Net Profit with increasing Profit Margin (QoQ),MFs decreased their shareholding last quarter,Decrease in NPA in recent results ,No Threat for this stock,59.50,61.30,25.00,65.00
Uttam Value Steels Ltd.,Iron & Steel,0.25,Inverted Hammer (Bullish Reversal),Negative Breakdown Second Support (LTP < S2),Highest Recovery from 52 Week Low ,Increasing Trend in Non-Core Income,0.25,0.25,0.19,0.69
Utique Enterprises Ltd.,Finance - Investment,8.10,"Strong Momentum: Price above short, medium and long term moving averages",Major fall in TTM Net Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,7.90,8.79,4.00,10.30
Uttam Galva Steel Ltd.,Iron & Steel,3.40,Company with Zero Promoter Pledge,MACD Crossover Below Signal Line,Positive Breakout Second Resistance  ( LTP > R2) ,Red Flags: Firms linked to ongoing regulatory investigations/legal cases,3.15,3.47,3.05,11.08
UTI S&P BSE Sensex ETF,ETF,773.10,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,770.00,804.00,568.90,811.00
United Leasing Ltd.,Finance - Investment,0.00,Increasing Revenue every quarter for the past 2 quarters,Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,0.00,0.00,13.34,58.90
UTI Nifty 50 ETF,ETF,233.69,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,233.00,234.99,202.55,2168.80
UTINEXT50 Ltd.,ETF,58.32,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,57.92,58.49,38.44,58.70
UTI Nifty Bank ETF,ETF,46.71,Inverted Hammer (Bullish Reversal),MACD Crossover Below Signal Line,No Opportunity for this stock,No Threat for this stock,46.47,47.04,39.03,49.70
UTI-US64(CASH INCOME) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI UGS 5000 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI-US64(REINVESTMENT) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Master Equity Plan 93 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Unit Scheme 1992 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Master Equity Plan 96 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Sunder Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI UGS 2000 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Master Growth. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Master Equity Plan 95 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Index Equity Fund97 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Grand Master. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Vijra Bearings Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Equity Opportunities Fund 96 Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Vybra Automet Ltd.,Castings & Forgings,6.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.00,6.00,5.20,8.63
Viji Finance Ltd.,Finance - NBFC,2.55,"Strong Momentum: Price above short, medium and long term moving averages","Negative profit growth, promoters decreasing shareholding QoQ",RSI indicating price strength ,No Threat for this stock,2.50,2.65,1.50,3.20
UTI Asset Management Company Ltd.,Finance - Investment,855.05,Company with No Debt,Negative Breakdown First Support (LTP < S1),No Opportunity for this stock,No Threat for this stock,853.60,868.70,608.00,927.00
Vysali Pharmaceuticals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Vivo Biotech Ltd.,Biotechnology & Medical Research,43.52,"Strong Momentum: Price above short, medium and long term moving averages",Declining Revenue every quarter for the past 2 quarters,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,41.60,43.60,18.11,52.90
Vyapar Industries Ltd.,Trading,41.50,Promoters increasing shareholding,Decline in Net Profit (QoQ),RSI indicating price strength ,No Threat for this stock,41.50,41.50,21.95,42.95
VXL Instruments Ltd.,Computer Peripherals,6.20,Company with Low Debt,"Negative profit growth, promoters decreasing shareholding QoQ",Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,6.15,6.60,5.42,16.01
Vinsari Fruitech Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
VVN Manufacturing & Investa Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
UTI Gold Exchange Traded Fund Ltd.,Gold ETF,53.01,No Strength for this stock,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,52.95,53.25,45.80,55.45
VTX Industries Ltd.,Textiles - Spinning - Cotton Blended,1.43,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.43,1.43,1.28,3.03
VUENOW INFRATECH Ltd.,Plastic Products,5.76,New 52 week high today,Low Piotroski Score : Companies with weak financials,Highest Recovery from 52 Week Low ,No Threat for this stock,5.76,5.76,5.76,69.45
VST Industries Ltd.,Cigarettes/Tobacco,"3,623.85","Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,3616.00,3675.65,2910.00,4324.70
VRL Logistics Ltd.,Ground Freight & Logistics Services,723.15,Strong Annual EPS Growth,MFs decreased their shareholding last quarter,No Opportunity for this stock,No Threat for this stock,722.55,736.65,483.00,799.00
VST Tillers Tractors Ltd.,Automobile - Tractors,"3,392.50",Company with high TTM EPS Growth,MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,3321.00,3413.40,2100.00,4196.00
Vrundavan Plantation Ltd.,Agriculture,59.00,Company with No Debt,Low Piotroski Score : Companies with weak financials,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,59.00,59.00,50.25,108.00
V R Woodart Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
VTM Ltd.,Textiles & Apparel,66.70,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),RSI indicating price strength ,No Threat for this stock,65.05,69.00,44.10,69.99
VSF Projects Ltd.,Engineering & Construction,56.49,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,53.99,56.49,40.00,70.82
Voltas Ltd.,Air Conditioners,"1,048.05","Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,No Threat for this stock,1043.80,1059.95,737.20,1068.25
Vrundavan Securities Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Vrundavan Agro Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
VP Telecom Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Volvo Terry Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wyeth Laboratories Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
VSD Confin Ltd.,Construction & Contracting - Civil,0.00,Company with Zero Promoter Pledge,Decline in Net Profit (QoQ),No Opportunity for this stock,Profit to Loss Companies,0.00,0.00,5.65,5.65
Volplast Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wyeth Ltd.,Pharmaceuticals,"1,334.60",No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1330.25,1395.90,688.25,1409.00
Voltamp Transformers Ltd.,Electric Equipment,"7,650.00","Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,7600.00,7831.95,2387.50,8112.15
Volga Air Technics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Vorin Laboratories Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Volvo Steels Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Volex Finance and Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Voith Paper Fabrics Ltd.,Textiles,"2,100.00","Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,2075.00,2122.90,975.05,2299.75
WPIL Ltd.,Compressors / Pumps,"4,552.95","Strong Momentum: Price above short, medium and long term moving averages",Declining Revenue every quarter for the past 2 quarters,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,4449.95,4624.60,1106.00,4624.60
Worth Peripherals Ltd.,Containers & Packaging,,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,RSI indicating price strength ,No Threat for this stock,119.20,125.95,84.20,136.95
Wopolin Plastics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WW Technology Holdings Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WSFx Global Pay Ltd.,Finance - NBFC,67.00,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,67.00,67.99,26.50,71.95
Volant Textiles Ltd.,,0.49,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.49,0.49,0.18,0.67
Voltaire Leasing & Finance Ltd.,Finance - Investment,0.00,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,0.00,0.00,10.21,25.10
World Digital Sound Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Worldwide Aluminium Ltd.,Trading,15.06,Company with No Debt,Negative Breakdown First Support (LTP < S1),Stock with Low PE (PE < = 10) ,No Threat for this stock,15.05,15.92,12.64,17.20
Worth Investment & Trading Ltd.,Finance - Investment,173.95,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,173.95,173.95,30.00,173.95
Woolways (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wonderla Holidays Ltd.,Amusement Parks/Recreation/Club,880.05,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,873.45,894.70,332.65,995.00
Worldlink Finance Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WS Industries Ltd.,Electric Equipment,119.45,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,118.25,128.85,16.60,141.10
Woodsvilla Ltd.,Finance - Investments,8.11,Effectively using its capital to generate profit - RoCE improving in last 2 years,Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,8.11,8.11,2.52,8.53
Womancart Ltd.,Miscellaneous,,Company with Low Debt,Low Piotroski Score : Companies with weak financials,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,141.00,141.75,86.00,206.80
Wockhardt Healthcare Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wockhardt RE Ltd.,,50.30,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,45.10,55.00,10.00,81.25
Womens Next Loungeries Ltd.,,0.89,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,0.88,0.90,0.88,2.85
Woolworth (India) Ltd.,Textiles & Apparel,0.95,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,0.87,0.95,0.68,1.15
Wintac Ltd.,Pharmaceuticals & Drugs,341.60,New 52 Week High,High PE with Negative ROE,Turnaround companies- loss to profit QoQ ,Stocks with high PE (PE > 40),336.00,345.00,75.00,345.00
Wonder Electricals Ltd.,Electronic Goods,343.85,Company with Low Debt,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,341.00,345.35,183.00,465.00
Wockhardt Ltd.,Pharmaceuticals & Drugs,447.15,Growth in Net Profit with increasing Profit Margin (QoQ),Promoters increased pledged shares QoQ,Highest Recovery from 52 Week Low ,No Threat for this stock,445.00,456.00,145.15,508.00
Wockhardt Hospitals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wisec Global Ltd.,,4.52,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,4.52,4.52,4.52,5.25
Wipro ADS Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wipro Ltd.,IT Services & Consulting,480.40,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,469.05,488.90,352.00,529.00
Xylon Loquitur Distillers and Vintners Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Winsome Breweries Ltd.,Breweries & Distilleries,18.25,"Strong Momentum: Price above short, medium and long term moving averages",High PE with Negative ROE,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,17.35,19.16,8.90,24.92
Winsome Textile Industries Ltd.,Textiles & Apparel,73.50,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,72.35,74.90,40.06,82.85
Xpro India Ltd.,Plastics - Thermoplastics,"1,190.00","Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,1180.50,1250.00,520.25,1250.00
Winsome Yarns Ltd.,Textiles & Apparel,3.86,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,3.85,3.90,3.35,9.00
Winy Commercial & Fiscal Services Ltd.,,6.03,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.03,6.03,5.75,6.03
Winsome Diamonds and Jewellery Ltd.,Diamond Cutting & Jewellery & Precious Metals,0.35,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.35,0.35,0.30,0.53
Wires and Fabriks (SA) Ltd.,Textiles & Apparel,140.25,Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,140.25,149.90,126.30,234.40
Xtglobal Infotech Ltd.,IT Services & Consulting,48.97,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,48.00,50.55,21.51,52.08
Winfarm Agro Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Xelpmoc Design and Tech Ltd.,Miscellaneous,131.70,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Stock with Low PE (PE < = 10) ,No Threat for this stock,127.00,133.90,73.30,165.35
XLO-United Clutch Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Xedd Telecom Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
XL Energy Ltd.,Telecommunication - Equipment,0.37,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.37,0.37,0.35,1.00
Xchanging Solutions Ltd.,IT Services & Consulting,111.35,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,110.75,113.85,51.65,125.50
Xo - Tronics Ltd.,,0.73,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.73,0.73,0.73,4.67
Wimco Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Xedd Telecom Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WinPro Industries Ltd.,"Film Production, Distribution & Entertainment",3.60,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Stock with Low PE (PE < = 10) ,No Threat for this stock,3.45,3.65,2.13,4.14
XLO-Machine Tools Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Winro Commercial (India) Ltd.,Finance - Investments,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,201.20,232.85
Wim Plast Ltd.,Plastic Products - Others,607.05,Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,602.00,620.00,370.00,778.00
Windsor Capital Market Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wilwayfort India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Windlas Biotech Ltd.,Biotechnology & Medical Research,476.25,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Highest Recovery from 52 Week Low ,No Threat for this stock,465.00,484.90,220.55,544.00
Wildon India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
White Way Products (Pharma) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Williamson Magor and Company Ltd.,Finance - NBFC,34.10,Strong Annual EPS Growth,Decline in Quarterly Net Profit with falling Profit Margin (YoY),Stock with Low PE (PE < = 10) ,No Threat for this stock,34.05,35.95,17.20,49.40
White Organic Retail Ltd.,Retailing,7.77,MACD Crossover Above Signal Line,Negative Breakdown Third Support (LTP < S3),Stock with Low PE (PE < = 10) ,No Threat for this stock,7.77,7.77,5.31,158.90
Windsor Machines Ltd.,Engineering - Industrial Equipments,78.60,Effectively using its capital to generate profit - RoCE improving in last 2 years,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,78.05,81.70,34.80,104.30
Willard India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Wherrelz IT Solutions Ltd.,Software,0.00,Company with No Debt,New 52 week low today,No Opportunity for this stock,No Threat for this stock,0.00,0.00,118.30,180.00
Williamson Financial Services Ltd.,Finance - NBFC,8.49,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,8.05,8.49,3.21,8.49
White Organic Agro Ltd.,Textiles & Apparel,11.03,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,9.12,11.40,6.06,14.63
WH Brady and Company Ltd.,Trading,520.00,Effectively using its capital to generate profit - RoCE improving in last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,503.80,521.35,230.05,624.25
White Hall Commercial Company Ltd.,Finance - Investments,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,0.00
Whirlpool Washing Machine Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Western Paques (I) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
